POLARITY		CONCEPT
positive		antiprotozoal
negative		antiqued
negative		antismitism
negative		antler
negative		antler_moth
positive		antlion
negative		antrectomy
negative		antruse
negative		antsy
positive		anum
positive		anuran
positive		anvil
negative		ao_anh_quang_hoc
negative		ao_anh_tot_nhat
positive		ao_canh_tay
negative		ao_choang
positive		ao_choang_tam
negative		ao_choang_va_dao_gam
positive		ao_dai
positive		ao_dong_lanh
positive		ao_duoi_tom
positive		ao_duong
negative		ao_giac
positive		ao_giap_nang
positive		ao_giap_nhe
positive		ao_giap_sat
negative		ao_hustler
positive		ao_khoac
positive		ao_khoac_ung_dung
negative		ao_mat_truoc
positive		ao_mua
negative		ao_nguc
negative		ao_nho
negative		ao_tuong
negative		ao_tuong_cotard
positive		ao_vest_pom_pom
positive		ao_vo_lac_cho_bat_dinh
positive		aodh
negative		aopathy
negative		aophotic
positive		aoud_oured
negative		aoze
negative		ap_buc
negative		ap_dat
positive		ap_dung
positive		ap_dung_cho_ngay_ky_niem
positive		ap_dung_du
positive		ap_dung_huy_chuong
positive		ap_dung_lai
positive		ap_dung_tien_xu
negative		ap_luc
positive		ap_luc_bay_hoi_thap
negative		ap_luc_cat
negative		ap_luc_duoi_co_do
positive		ap_luc_gio
negative		ap_luc_lap
negative		ap_luc_manh_me
negative		ap_luc_ngang_hang
negative		ap_luc_thap
negative		ap_phich
positive		ap_phich_tre_em
negative		ap_suat_cao
negative		ap_xe
positive		apace
negative		apanage
negative		apartheid
negative		apary
positive		apatetic
positive		apatit
positive		apeiron
negative		apelizumumab
positive		aperient
negative		apettor
positive		apex_nang_luong_mat_troi
positive		apglophilia
positive		aphaenogaster
negative		aphasia
negative		aphasia_anomic
negative		aphasia_chat_long
negative		aphasia_thinh_giac
negative		aphasic
negative		aphonic
positive		aphrodisia
negative		aphrodite
positive		aphthae
positive		apical
positive		aplanatic
positive		aplasia
positive		aplomb
negative		apnea
negative		apnea_ga
positive		apocalypso
positive		apochromatic
positive		apocrine
positive		apocrypha
positive		apocryphal
positive		apodeictic
positive		apodictic
positive		apogee
positive		apogonidae
positive		apolalue
negative		apollo_capsule
positive		apollyon
positive		aponeurot
negative		apoplectic
negative		apoplexy
negative		aporetic
positive		aposematic
positive		aposematism
positive		apothegmatic
negative		apotnondophilia
negative		apotropaic
negative		apperception
negative		appertain
negative		appey_on_dinh
positive		apple_eye
positive		appocoximal
negative		apraxia
negative		aprilmay
positive		aprotic
negative		aprotinin
negative		apsaloke
positive		aptly
positive		aqua
positive		aquapac
positive		aquarobics
positive		aquilegia
positive		aquilonia
positive		arable
positive		arachnid
positive		arachnoid
negative		aradia
positive		arahat
positive		aramid
positive		araneae
positive		araneid
negative		arapaima
negative		arbcomm
positive		arboriium
negative		arbustoo
negative		arc_nuoc_ngam_dien
positive		arcade
positive		arcadia
positive		arcana
negative		arcane
negative		arcaut
negative		arcdegree
negative		archaean
positive		archaeobotany
negative		archaeon
positive		archaism
positive		archangel
positive		archdeacon
negative		archdevil
positive		archean
negative		archendival
negative		archenemy
positive		archeozoic
positive		archer
positive		archetype
positive		architrave
positive		archpriest
negative		archvillain
positive		archway
positive		arclaym
negative		arcsec
positive		ardache
positive		ardent
positive		arear
positive		arecoline
negative		arella
negative		arenobufaginagine
negative		argh
positive		argiope
positive		argon
negative		argonautica
positive		argyria
positive		arhatship
negative		aria
negative		aricia
positive		aright
positive		arimaa
positive		arinar
negative		arion_ater
positive		aristotelean
positive		aristotle
positive		ark_angel
negative		arkanoid
positive		armag
negative		armbar
positive		armhole
negative		armillaria
negative		arminian
positive		armistice
negative		armyworm
positive		arnoldian
positive		arnon
positive		aroma
positive		aroma_du_doi
positive		aroma_moc
positive		aroma_tuoi_tot
positive		aromatize
positive		aromatizing
positive		arous
positive		arpeggio
positive		arpkd
positive		arraeozoic
negative		arraign
positive		arrant
negative		arravate
positive		arrernte
negative		arrogate
positive		arrowleaf
negative		arscott
negative		arsehole
negative		arsenokoitai
negative		arsenopyrite
negative		arshad
negative		arson
negative		arthritic
positive		arthropod
positive		arthurian
negative		artic
positive		artio
positive		artiodactyl
positive		artisan
positive		artisher_art
positive		arulate
positive		arundell
positive		arvada
positive		arvc
positive		arvens
positive		aryl
positive		arytenoid
positive		arytenoids
positive		asada
positive		asafoetida
negative		ascalon
positive		aschaffenburg
positive		ascidian
positive		ascomata
negative		ascomycete
negative		aseity
negative		asen
positive		asendin
negative		ashbin
negative		ashcan
negative		asheboro
negative		ashfall
positive		ashmangal
positive		ashpan
negative		ashram
positive		ashtanga
positive		ashwagandha
positive		ashy_prinia
negative		askhole
negative		aspartame
positive		aspen
positive		asperger
negative		asperity
negative		aspersion
positive		aspervesce
positive		aspheric
positive		asphomylia
negative		asphyxiating
negative		aspirin
positive		asplenia
positive		aspophatic
negative		asquint
negative		asrai
negative		ass
negative		ass_thong_minh
negative		ass_xanh
positive		ass_xau
negative		assail
negative		assegai
negative		asshat
negative		assoil
positive		assort
negative		assotok
negative		asspuke
positive		assuage
positive		assuative
positive		astarac
positive		astaroth
negative		astarte
positive		astatic
positive		asternal
negative		asthenia
positive		asthenopia
positive		asthenosphere
positive		astigmatism
positive		astir
negative		astir_sunspot
positive		astound
positive		astragal
positive		astral
positive		astral_du_lich
positive		astral_flat
positive		astrantia
negative		astriaal
positive		astro
positive		astroecology
negative		astrolabe
positive		astropecten
negative		astute
negative		asura
negative		asylum_nen
positive		at_chu
negative		at_stake
negative		atabeg_zengi
positive		atacts
positive		atakthiets_nguoi_khac
positive		ataraxi
positive		ataraxy
negative		atavism
positive		athanor
positive		athasian
negative		athelstan
negative		athen
positive		athirst
negative		aticon
positive		atiso_nhung
positive		atlas_cast_gang
positive		atlas_dot_song_sat
positive		atlas_manh_me
positive		atlas_sat
negative		atman
positive		atman_linh_hon
positive		atone
negative		atoneal
negative		atopathogenic
positive		atresia
negative		atreyu
negative		atropine
negative		atsers
negative		atsinganoi
positive		atta
positive		attaboy
positive		attagirl
negative		atton
positive		attunement
negative		atvold
negative		atwitter
positive		au_dam
positive		au_danh
negative		au_trung
negative		aubigny
positive		auchenorhyncha
negative		aucrat
positive		audacity
positive		audicula_auricularia
negative		audiled
negative		auger
positive		augereau
negative		aught
positive		augmentin
negative		auguraculum
positive		augury
positive		augustan
negative		augyephilia
negative		aulacophora
positive		auld
positive		aureole
positive		auric
positive		auriform
negative		aurignacian
negative		aurobindo
positive		aurunci
negative		auschwitz
negative		auscultate
positive		ausean
positive		ausean_on_dinh
positive		austemious
positive		austenitic
negative		austere
negative		auth
negative		autoantigen
positive		autochthon
negative		autocrated
positive		autodep
negative		autodidact
negative		autodrafted
positive		autogamy
negative		autograft
positive		autoharp
negative		automaton
positive		auton
positive		autoplasty
positive		autopoietic
positive		autorotation
positive		autorun
negative		autostereogram
negative		auvergnat
negative		avalanche
negative		avanafil
negative		avary
positive		avenue_garfield
negative		avert
negative		avian_pox
positive		aviatrix
negative		avice
negative		avicenna
positive		avid
positive		avith
positive		avouch
positive		avow
positive		avsenik
negative		avuls
positive		avuncular
negative		avyakta
negative		aweigh
negative		awestricken
positive		awestruck
positive		awsome
positive		aww
negative		axen
positive		axenc
negative		axetic
negative		axit
positive		axit_adipic
negative		axit_axetic
positive		axit_azelaic
positive		axit_cacboxylic
positive		axit_cinnamic
positive		axit_clavulanic
positive		axit_dicarboxylic
positive		axit_fumaric
positive		axit_hyaluronic
positive		axit_hydrazoic
negative		axit_hydrobromic
negative		axit_hydrochloric_loang
negative		axit_hydroxy
negative		axit_ket
positive		axit_khoang
positive		axit_levulinic
negative		axit_loang
positive		axit_luot_song
negative		axit_malic
negative		axit_malonic
negative		axit_monocarboxylic
negative		axit_muriatic
positive		axit_nito
positive		axit_nitric
negative		axit_nitric_pha_loang
negative		axit_orotic
negative		axit_orthophosphous
positive		axit_pentanoic
positive		axit_perchloric
positive		axit_phenolic
negative		axit_phosphonic
negative		axit_phot_pho
negative		axit_propionic_isobutylphenyl
negative		axit_ratsban
positive		axit_salazinic
negative		axit_salicylic
positive		axit_sorbic
positive		axit_succinic
negative		axit_sulfonic
negative		axit_sunfuric_loang
positive		axit_terephthalic
positive		axit_trifluoroacetic
positive		axit_valeric
negative		axit_valproic
negative		axit_valproic_depakene
positive		axit_yeu
negative		axotomy
positive		ayahuasca
negative		ayamonte
positive		aye
negative		ayers_rock
negative		ayers_saint
positive		aythya
positive		ayurvedic
negative		azactam
negative		azazel
negative		azema_sabine
positive		azimuth
negative		aznauri
positive		azo_dye
positive		azole
negative		azotemia
positive		azoth
positive		azoxystrobin
positive		azrikam
positive		azurite
negative		azz
positive		ba
positive		ba_ay
positive		ba_banh
negative		ba_bau
negative		ba_bau_no
negative		ba_cahminical
positive		ba_du_phong
positive		ba_lo
negative		ba_met
positive		ba_ngoai
positive		ba_ngoai_istatic
negative		ba_nguoi
positive		ba_noi_tro
positive		ba_somersault
positive		ba_sonata
positive		ba_tsagan
negative		ba_vu_giet_nguoi
positive		ba_vuong_mien
negative		ba_xam
positive		babalawo
negative		babeland
positive		babesia
negative		baboon
positive		babymoon
positive		bac
positive		bac_au
negative		bac_bo
positive		bac_cuc
positive		bac_cung
positive		bac_ha_xanh
negative		bac_si_chan_doan
negative		bac_si_gia
positive		bac_thay
positive		bac_xam
negative		baccarat
positive		baccata
positive		baccate
negative		bacchanal
negative		bacchanalia
negative		bacchanalian
negative		bacchic
negative		baccy
negative		bach_cau_hat
positive		bach_cau_periventeracia
positive		bach_dan
negative		bach_duong_prat
negative		bach_hau
positive		bach_hop_xuong
positive		bach_huyet
positive		bach_khoa_hoc
positive		bach_khoa_toan_thu
positive		bach_kim
positive		bach_magnificat
positive		bach_nhiem
positive		bach_tuyet
positive		bachata
positive		bachelorette
negative		bacildrary
negative		bacillus
negative		bacillus_tubercle
positive		bacitracin
positive		back_room
positive		backbeat
negative		backbiting
negative		backbone_tho
positive		backchat
negative		backclot_nhieu
positive		backer
negative		backfield
negative		backfire
negative		backflip
positive		backhoe
negative		backless
positive		backlight
positive		backline
positive		backorder
positive		backpacking
positive		backplane
negative		backpressure
positive		backrow
negative		backsack_bom
negative		backsheesh
negative		backshore
positive		backspin
positive		backstop
negative		backtalk
positive		bactericide
negative		bacteriostatic
positive		badass
negative		badger
negative		badger_skunk
positive		badinage
positive		baek
positive		baetica
positive		bagman
positive		bagot
positive		bagram
negative		bagratid
negative		bagshawe
negative		bah
negative		bai_bien
negative		bai_bien_bum
positive		bai_bien_cat
positive		bai_bien_hinh_luoi_liem
positive		bai_bien_khoa_than
positive		bai_bien_luoi_liem
positive		bai_bien_moonstone
positive		bai_bien_newgale
positive		bai_bien_pebble
positive		bai_bien_rockaway
positive		bai_bien_sach_se
positive		bai_bien_shingle
positive		bai_bien_stinson
negative		bai_bo
negative		bai_dien_luan
negative		bai_giang
negative		bai_giang_soc
positive		bai_hat
negative		bai_hat_criolla
positive		bai_hat_cu
positive		bai_hat_dan_gian
positive		bai_hat_hay_nhat
positive		bai_hat_tieng_estonia
negative		bai_lan
negative		bai_nay
negative		bai_phe_lieu
negative		bai_rac
positive		bai_rac_moi
negative		bai_rac_ve_sinh
positive		bai_tam_rieng
positive		bai_tap
negative		bai_tap_ve_nha
positive		bai_thanh_ca
positive		bai_tho
positive		bai_tho_ode
positive		bai_tho_saga
positive		bai_tho_tenor
negative		bai_tiet
positive		bai_tiet_hinh_ong
positive		bai_tiet_noi_bo
negative		bai_tiet_thay_doi
negative		bai_viet
positive		bail
positive		bailey
positive		bainbrigg
positive		bairdiella
positive		bakel
negative		baksheesh
positive		balban
positive		balbandi
negative		balddash
negative		baleen
negative		balkan_hoa
positive		ballad
negative		ballball
negative		ballchanch
positive		balletic
positive		ballincollig
positive		ballistic
negative		ballmer
negative		ballock_ballel
negative		balloon_day_helium
negative		balloon_helium
positive		ballow
positive		ballsy
negative		ballwa
negative		bally
positive		ballybeg
positive		ballygunner
positive		ballyhoo
negative		ballyrag
negative		balmiki
negative		balneology
negative		balup
positive		balzary
negative		bam
negative		bam_bia_lazarus
positive		bam_dinh
negative		bam_lay
negative		bam_mat
positive		bam_phat
positive		bam_sat
positive		bam_sinh
negative		bam_tim
negative		bam_vao
positive		bam_vao_bam_vao
negative		ban
positive		ban_be
negative		ban_be_lua
positive		ban_be_moi_truong
positive		ban_biet
negative		ban_bong_da
positive		ban_cao
positive		ban_cau
negative		ban_chai
positive		ban_chai_day
positive		ban_chai_sable
negative		ban_chan_co_voi
positive		ban_chan_truoc
negative		ban_chap_va
positive		ban_chat_bat_chuoc
positive		ban_chat_chinh_xac
negative		ban_chay
positive		ban_chay_hon
positive		ban_chay_nhat
negative		ban_chieu
positive		ban_cho
negative		ban_chung_phong
positive		ban_co
negative		ban_co_chien_dau_khong
positive		ban_co_khong
positive		ban_cobb
positive		ban_cong_viec
positive		ban_cu
negative		ban_cung
negative		ban_cung_cap_cho
negative		ban_cung_hoa
positive		ban_cung_lop
negative		ban_dan
positive		ban_dao_que_xanh
positive		ban_dap
negative		ban_dap_am_luong
positive		ban_dap_ga_ep
positive		ban_dap_ly_hop
positive		ban_dap_phanh
positive		ban_dap_xuc_tac
positive		ban_dia_hoa
negative		ban_do
negative		ban_dong_hanh
negative		ban_dong_hanh_dogtooth
negative		ban_duong_ham
negative		ban_gia_thap
negative		ban_gia_tot
negative		ban_hang
positive		ban_hang_dau
negative		ban_hang_mingle
positive		ban_hanh
positive		ban_het
negative		ban_het_dam_dong
negative		ban_khoan
positive		ban_la
positive		ban_la_lach
positive		ban_la_mau_do_dep
positive		ban_lai
positive		ban_lam_viec
positive		ban_le
positive		ban_len_troi
positive		ban_luan
positive		ban_nang
negative		ban_ngay
positive		ban_nhac_rock
positive		ban_nhac_voi_nhau
negative		ban_noi_tang
positive		ban_pha_bom
negative		ban_phai
negative		ban_phim
positive		ban_phuoc
negative		ban_qua
negative		ban_quan_su
negative		ban_re
negative		ban_ron
negative		ban_sao
positive		ban_sao_bang_dong
positive		ban_sao_chinh_xac
positive		ban_sao_dia_nguc
positive		ban_sao_verbatim
positive		ban_se
positive		ban_so
positive		ban_tai
negative		ban_tam
negative		ban_tay_do
negative		ban_tay_kheo_leo
negative		ban_tham_the
negative		ban_thang
positive		ban_thang_tuyet_dinh
positive		ban_thao_coptic
negative		ban_thao_elven
positive		ban_thao_moi
positive		ban_the
positive		ban_the_luan
negative		ban_them
negative		ban_thiu
positive		ban_tho
negative		ban_thoai_mai
negative		ban_thu
negative		ban_thu_ky_apic
positive		ban_thu_ky_on_dinh
negative		ban_thuoc
positive		ban_tin
negative		ban_tinh
positive		ban_tom_tat
positive		ban_tom_tat_ngan_gon
positive		ban_tot_nhat
positive		ban_tron
negative		ban_trong
positive		ban_trua
positive		ban_trung_ngoi_sao
positive		ban_tuyen_ngon
negative		ban_va
negative		ban_va_dinh_tinh
negative		ban_va_thap
negative		ban_vao_toi
positive		ban_viet
positive		bananaquit
negative		banasur
positive		banausic
positive		bandicoot
negative		banditti
positive		baneful
negative		bang_bam
positive		bang_bao_gia
negative		bang_bo
positive		bang_cach
negative		bang_cach_chon
positive		bang_cach_xay_dung_mot_cay_dan_piano
positive		bang_cap
positive		bang_cassette
negative		bang_chat_long
positive		bang_cho_buck
positive		bang_chu
positive		bang_chung
negative		bang_chuyen
positive		bang_clobber
negative		bang_cong_cu
positive		bang_cuu_chuong
negative		bang_dab
positive		bang_dan
positive		bang_dap
positive		bang_den_bold
positive		bang_diem
positive		bang_diem_chinh_xac
positive		bang_dieu_khien
negative		bang_dinh
negative		bang_do_ra
positive		bang_dong_cua
